Feature,Count,Mean,Std,Variance,Min,Q1,Median(Q2),Q3,IQR,Lower bound,Upper bound,Max,Range,Skewness,Kurtosis
Status,8796,0.6795134151887221,0.5847744440039184,0.3419611503600919,0.0,0.0,1.0,1.0,1.0,-1.5,2.5,2.0,2.0,0.2059439923072025,-0.6379198459847166
Drug,8796,0.6344929513415188,0.48159943378053865,0.23193801461773544,0.0,0.0,1.0,1.0,1.0,-1.5,2.5,1.0,1.0,-0.558557953682137,-1.6880130123784238
Sex,8796,0.11869031377899045,0.3234421380208472,0.10461481664749678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.357957225846655,3.559962278922458
Ascites,8796,0.32480673033196905,0.46832921510093994,0.21933225371706247,0.0,0.0,0.0,1.0,1.0,-1.5,2.5,1.0,1.0,0.748205422842194,-1.4401886452295336
Hepatomegaly,8796,0.39733969986357437,0.48937520340473484,0.2394880897074256,0.0,0.0,0.0,1.0,1.0,-1.5,2.5,1.0,1.0,0.4195804590993915,-1.823952238341944
Spiders,8796,0.4688494770350159,0.4990570707146749,0.24905795983031204,0.0,0.0,0.0,1.0,1.0,-1.5,2.5,1.0,1.0,0.12484461463423346,-1.98441382219683
Edema,8796,0.20020463847203274,0.4847227901040428,0.23495618324624792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.4194281565734044,5.065003163184089
Bilirubin,8796,3.1848453842655755,4.464578420901072,19.93246047637551,0.3,0.8,1.3,3.3,2.5,-2.95,7.05,28.0,27.7,2.791832161705159,8.421476423849136
Cholesterol,8796,371.93662452787635,200.76770117951023,40307.669836905116,120.0,268.0,369.5105634,369.5105634,101.51056340000002,115.73415489999996,521.7764085000001,1775.0,1655.0,3.923819037096819,19.661526339718883
Albumin,8796,3.5021816734879487,0.37789751291266643,0.14280653026557888,1.96,3.31,3.53,3.76,0.44999999999999973,2.6350000000000007,4.435,4.64,2.6799999999999997,-0.5144661542218754,0.8531999717776229
Copper,8796,96.13546333453844,73.02767753378035,5333.041685977808,4.0,50.0,96.0,102.0,52.0,-28.0,180.0,588.0,584.0,2.7096350186835383,11.482835824461475
Alk_Phos,8796,1965.3906084397454,1832.1021151070456,3356598.16017971,289.0,1027.75,1644.0,1982.655769,954.905769,-404.60865349999995,3415.0144225,13862.4,13573.4,3.493363000589771,14.052542394287986
SGOT,8796,122.02230695957253,48.02289955721938,2306.1988818827817,26.35,88.35,122.5563462,136.4,48.05000000000001,16.274999999999977,208.47500000000002,457.25,430.9,1.4248152463081682,5.063495408400071
Tryglicerides,8796,123.51088503730105,55.790961046967126,3112.631334544203,33.0,91.0,124.7021277,127.0,36.0,37.0,181.0,598.0,565.0,3.479614927945755,22.681199490709076
Platelets,8796,254.71876387789905,96.16054620711687,9246.850646851057,62.0,189.0,249.0,309.0,120.0,9.0,489.0,721.0,659.0,0.7435631443566647,1.2920881307987404
Prothrombin,8796,10.70354444328331,0.913657238404679,0.8347695492892645,9.0,10.0,10.6,11.1,1.0999999999999996,8.350000000000001,12.75,18.0,9.0,2.1999326965013557,11.67665198357486
Stage,8796,2.030695770804911,0.8085467379122823,0.6537478273885928,1.0,1.0,2.0,3.0,2.0,-2.0,6.0,3.0,2.0,-0.05587216147175183,-1.4681448246679505
