Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,200,10,0.7807,0.8298,0.8966,0.8619,0.8259
Normalizer,100,10,0.7807,0.8298,0.8966,0.8619,0.825
Normalizer,200,None,0.7719,0.8211,0.8966,0.8571,0.8029
Normalizer,100,20,0.7719,0.8144,0.908,0.8587,0.8135
Normalizer,100,None,0.7719,0.8144,0.908,0.8587,0.8142
Normalizer,200,20,0.7632,0.8191,0.8851,0.8508,0.8023
NoScaler,100,10,0.7456,0.8152,0.8621,0.838,0.7799
StandardScaler,100,10,0.7368,0.8065,0.8621,0.8333,0.7795
MinMaxScaler,100,10,0.7281,0.7979,0.8621,0.8287,0.7774
RobustScaler,200,10,0.7281,0.8043,0.8506,0.8268,0.7774
RobustScaler,100,10,0.7281,0.7979,0.8621,0.8287,0.7782
MinMaxScaler,200,20,0.7281,0.8182,0.8276,0.8229,0.7678
MinMaxScaler,200,None,0.7281,0.8182,0.8276,0.8229,0.7678
StandardScaler,200,20,0.7281,0.8182,0.8276,0.8229,0.7705
NoScaler,200,10,0.7281,0.8043,0.8506,0.8268,0.7816
StandardScaler,200,None,0.7281,0.8182,0.8276,0.8229,0.7703
MinMaxScaler,100,None,0.7193,0.809,0.8276,0.8182,0.7605
RobustScaler,200,20,0.7193,0.809,0.8276,0.8182,0.7673
NoScaler,100,20,0.7193,0.809,0.8276,0.8182,0.7599
NoScaler,200,None,0.7193,0.809,0.8276,0.8182,0.7693
NoScaler,200,20,0.7193,0.809,0.8276,0.8182,0.7695
StandardScaler,100,None,0.7193,0.809,0.8276,0.8182,0.7603
RobustScaler,200,None,0.7193,0.809,0.8276,0.8182,0.7669
StandardScaler,100,20,0.7193,0.809,0.8276,0.8182,0.7627
MinMaxScaler,100,20,0.7193,0.809,0.8276,0.8182,0.7625
RobustScaler,100,20,0.7193,0.809,0.8276,0.8182,0.7627
RobustScaler,100,None,0.7193,0.809,0.8276,0.8182,0.7601
StandardScaler,200,10,0.7193,0.7957,0.8506,0.8222,0.782
MinMaxScaler,200,10,0.7193,0.7957,0.8506,0.8222,0.7803
NoScaler,100,None,0.7193,0.809,0.8276,0.8182,0.7578
