Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,10,0.7018,0.8235,0.7179,0.7671,0.6998
StandardScaler,200,10,0.7018,0.8235,0.7179,0.7671,0.6993
NoScaler,100,10,0.7018,0.8235,0.7179,0.7671,0.6976
MinMaxScaler,100,10,0.7018,0.8235,0.7179,0.7671,0.698
RobustScaler,200,10,0.7018,0.8235,0.7179,0.7671,0.6994
StandardScaler,100,None,0.7018,0.7895,0.7692,0.7792,0.6993
MinMaxScaler,100,20,0.693,0.7792,0.7692,0.7742,0.6975
MinMaxScaler,100,None,0.693,0.7792,0.7692,0.7742,0.698
RobustScaler,100,10,0.693,0.8116,0.7179,0.7619,0.6985
NoScaler,100,None,0.693,0.7867,0.7564,0.7712,0.698
RobustScaler,100,20,0.693,0.7792,0.7692,0.7742,0.7021
RobustScaler,100,None,0.693,0.7792,0.7692,0.7742,0.7009
StandardScaler,100,10,0.693,0.8209,0.7051,0.7586,0.6976
NoScaler,200,10,0.693,0.8116,0.7179,0.7619,0.6996
NoScaler,200,None,0.693,0.7792,0.7692,0.7742,0.6884
RobustScaler,200,20,0.693,0.7792,0.7692,0.7742,0.692
RobustScaler,200,None,0.693,0.7792,0.7692,0.7742,0.6916
MinMaxScaler,200,None,0.6842,0.7692,0.7692,0.7692,0.6886
MinMaxScaler,200,20,0.6842,0.7692,0.7692,0.7692,0.6911
StandardScaler,200,20,0.6842,0.7763,0.7564,0.7662,0.6879
StandardScaler,200,None,0.6842,0.7763,0.7564,0.7662,0.6877
StandardScaler,100,20,0.6842,0.7763,0.7564,0.7662,0.6991
NoScaler,200,20,0.6842,0.7763,0.7564,0.7662,0.6891
NoScaler,100,20,0.6842,0.7763,0.7564,0.7662,0.698
Normalizer,100,10,0.6667,0.8125,0.6667,0.7324,0.6832
Normalizer,100,None,0.6579,0.7826,0.6923,0.7347,0.6946
Normalizer,100,20,0.6579,0.7826,0.6923,0.7347,0.6923
Normalizer,200,10,0.6579,0.8,0.6667,0.7273,0.6834
Normalizer,200,None,0.6491,0.7714,0.6923,0.7297,0.6927
Normalizer,200,20,0.6491,0.7714,0.6923,0.7297,0.6914
