Fold,Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,100,None,0.7117,0.7692,0.6098,0.6803,0.7566
1,NoScaler,100,10,0.7239,0.8136,0.5854,0.6809,0.7495
1,NoScaler,100,20,0.7178,0.7812,0.6098,0.6849,0.7595
1,NoScaler,200,None,0.7055,0.7742,0.5854,0.6667,0.7563
1,NoScaler,200,10,0.7178,0.8,0.5854,0.6761,0.7488
1,NoScaler,200,20,0.7117,0.7778,0.5976,0.6759,0.7565
1,StandardScaler,100,None,0.7117,0.7692,0.6098,0.6803,0.7566
1,StandardScaler,100,10,0.7239,0.8136,0.5854,0.6809,0.7495
1,StandardScaler,100,20,0.7178,0.7812,0.6098,0.6849,0.7595
1,StandardScaler,200,None,0.7055,0.7742,0.5854,0.6667,0.7563
1,StandardScaler,200,10,0.7178,0.8,0.5854,0.6761,0.7488
1,StandardScaler,200,20,0.7117,0.7778,0.5976,0.6759,0.7565
1,MinMaxScaler,100,None,0.7117,0.7692,0.6098,0.6803,0.7566
1,MinMaxScaler,100,10,0.7239,0.8136,0.5854,0.6809,0.7495
1,MinMaxScaler,100,20,0.7178,0.7812,0.6098,0.6849,0.7595
1,MinMaxScaler,200,None,0.7055,0.7742,0.5854,0.6667,0.7563
1,MinMaxScaler,200,10,0.7178,0.8,0.5854,0.6761,0.7488
1,MinMaxScaler,200,20,0.7117,0.7778,0.5976,0.6759,0.7565
1,RobustScaler,100,None,0.7117,0.7692,0.6098,0.6803,0.7566
1,RobustScaler,100,10,0.7239,0.8136,0.5854,0.6809,0.7495
1,RobustScaler,100,20,0.7178,0.7812,0.6098,0.6849,0.7595
1,RobustScaler,200,None,0.7055,0.7742,0.5854,0.6667,0.7563
1,RobustScaler,200,10,0.7178,0.8,0.5854,0.6761,0.7488
1,RobustScaler,200,20,0.7117,0.7778,0.5976,0.6759,0.7565
1,Normalizer,100,None,0.6074,0.6154,0.5854,0.6,0.6576
1,Normalizer,100,10,0.638,0.6769,0.5366,0.5986,0.6663
1,Normalizer,100,20,0.6074,0.6154,0.5854,0.6,0.6646
1,Normalizer,200,None,0.6074,0.6154,0.5854,0.6,0.6659
1,Normalizer,200,10,0.638,0.6769,0.5366,0.5986,0.6694
1,Normalizer,200,20,0.6074,0.6154,0.5854,0.6,0.6695
2,NoScaler,100,None,0.6871,0.7206,0.6049,0.6577,0.7451
2,NoScaler,100,10,0.6871,0.7206,0.6049,0.6577,0.7208
2,NoScaler,100,20,0.7055,0.7391,0.6296,0.68,0.7419
2,NoScaler,200,None,0.6933,0.7246,0.6173,0.6667,0.7483
2,NoScaler,200,10,0.6871,0.7344,0.5802,0.6483,0.718
2,NoScaler,200,20,0.6933,0.7313,0.6049,0.6622,0.7456
2,StandardScaler,100,None,0.6871,0.7206,0.6049,0.6577,0.7451
2,StandardScaler,100,10,0.6871,0.7206,0.6049,0.6577,0.7208
2,StandardScaler,100,20,0.7055,0.7391,0.6296,0.68,0.7419
2,StandardScaler,200,None,0.6933,0.7246,0.6173,0.6667,0.7483
2,StandardScaler,200,10,0.6871,0.7344,0.5802,0.6483,0.718
2,StandardScaler,200,20,0.6933,0.7313,0.6049,0.6622,0.7456
2,MinMaxScaler,100,None,0.6871,0.7206,0.6049,0.6577,0.7451
2,MinMaxScaler,100,10,0.6871,0.7206,0.6049,0.6577,0.7208
2,MinMaxScaler,100,20,0.7055,0.7391,0.6296,0.68,0.7419
2,MinMaxScaler,200,None,0.6933,0.7246,0.6173,0.6667,0.7483
2,MinMaxScaler,200,10,0.6871,0.7344,0.5802,0.6483,0.718
2,MinMaxScaler,200,20,0.6933,0.7313,0.6049,0.6622,0.7456
2,RobustScaler,100,None,0.6871,0.7206,0.6049,0.6577,0.7451
2,RobustScaler,100,10,0.6871,0.7206,0.6049,0.6577,0.7208
2,RobustScaler,100,20,0.7055,0.7391,0.6296,0.68,0.7419
2,RobustScaler,200,None,0.6933,0.7246,0.6173,0.6667,0.7483
2,RobustScaler,200,10,0.6871,0.7344,0.5802,0.6483,0.718
2,RobustScaler,200,20,0.6933,0.7313,0.6049,0.6622,0.7456
2,Normalizer,100,None,0.6319,0.6364,0.6049,0.6203,0.6972
2,Normalizer,100,10,0.6442,0.6825,0.5309,0.5972,0.6673
2,Normalizer,100,20,0.6319,0.6364,0.6049,0.6203,0.695
2,Normalizer,200,None,0.6319,0.6364,0.6049,0.6203,0.7002
2,Normalizer,200,10,0.6442,0.6825,0.5309,0.5972,0.6676
2,Normalizer,200,20,0.6319,0.6364,0.6049,0.6203,0.6936
3,NoScaler,100,None,0.7531,0.7733,0.716,0.7436,0.782
3,NoScaler,100,10,0.7284,0.7534,0.679,0.7143,0.7932
3,NoScaler,100,20,0.7469,0.7703,0.7037,0.7355,0.7853
3,NoScaler,200,None,0.7531,0.7662,0.7284,0.7468,0.7789
3,NoScaler,200,10,0.7346,0.7568,0.6914,0.7226,0.7948
3,NoScaler,200,20,0.7407,0.7532,0.716,0.7342,0.7807
3,StandardScaler,100,None,0.7531,0.7733,0.716,0.7436,0.782
3,StandardScaler,100,10,0.7284,0.7534,0.679,0.7143,0.7932
3,StandardScaler,100,20,0.7469,0.7703,0.7037,0.7355,0.7853
3,StandardScaler,200,None,0.7531,0.7662,0.7284,0.7468,0.7789
3,StandardScaler,200,10,0.7346,0.7568,0.6914,0.7226,0.7948
3,StandardScaler,200,20,0.7407,0.7532,0.716,0.7342,0.7807
3,MinMaxScaler,100,None,0.7531,0.7733,0.716,0.7436,0.782
3,MinMaxScaler,100,10,0.7284,0.7534,0.679,0.7143,0.7932
3,MinMaxScaler,100,20,0.7469,0.7703,0.7037,0.7355,0.7853
3,MinMaxScaler,200,None,0.7531,0.7662,0.7284,0.7468,0.7789
3,MinMaxScaler,200,10,0.7346,0.7568,0.6914,0.7226,0.7948
3,MinMaxScaler,200,20,0.7407,0.7532,0.716,0.7342,0.7807
3,RobustScaler,100,None,0.7531,0.7733,0.716,0.7436,0.782
3,RobustScaler,100,10,0.7284,0.7534,0.679,0.7143,0.7932
3,RobustScaler,100,20,0.7469,0.7703,0.7037,0.7355,0.7853
3,RobustScaler,200,None,0.7531,0.7662,0.7284,0.7468,0.7789
3,RobustScaler,200,10,0.7346,0.7568,0.6914,0.7226,0.7948
3,RobustScaler,200,20,0.7407,0.7532,0.716,0.7342,0.7807
3,Normalizer,100,None,0.7099,0.6889,0.7654,0.7251,0.7685
3,Normalizer,100,10,0.7407,0.7671,0.6914,0.7273,0.7644
3,Normalizer,100,20,0.7099,0.6889,0.7654,0.7251,0.7678
3,Normalizer,200,None,0.7099,0.6889,0.7654,0.7251,0.7712
3,Normalizer,200,10,0.7593,0.8,0.6914,0.7417,0.767
3,Normalizer,200,20,0.7099,0.6889,0.7654,0.7251,0.766
4,NoScaler,100,None,0.7037,0.72,0.6667,0.6923,0.7583
4,NoScaler,100,10,0.7099,0.7429,0.642,0.6887,0.784
4,NoScaler,100,20,0.7037,0.7143,0.679,0.6962,0.7638
4,NoScaler,200,None,0.6975,0.7051,0.679,0.6918,0.7578
4,NoScaler,200,10,0.7037,0.7324,0.642,0.6842,0.7811
4,NoScaler,200,20,0.6914,0.6962,0.679,0.6875,0.759
4,StandardScaler,100,None,0.7037,0.72,0.6667,0.6923,0.7583
4,StandardScaler,100,10,0.7099,0.7429,0.642,0.6887,0.784
4,StandardScaler,100,20,0.7037,0.7143,0.679,0.6962,0.7638
4,StandardScaler,200,None,0.6975,0.7051,0.679,0.6918,0.7578
4,StandardScaler,200,10,0.7037,0.7324,0.642,0.6842,0.7811
4,StandardScaler,200,20,0.6914,0.6962,0.679,0.6875,0.759
4,MinMaxScaler,100,None,0.7037,0.72,0.6667,0.6923,0.7583
4,MinMaxScaler,100,10,0.7099,0.7429,0.642,0.6887,0.784
4,MinMaxScaler,100,20,0.7037,0.7143,0.679,0.6962,0.7638
4,MinMaxScaler,200,None,0.6975,0.7051,0.679,0.6918,0.7578
4,MinMaxScaler,200,10,0.7037,0.7324,0.642,0.6842,0.7811
4,MinMaxScaler,200,20,0.6914,0.6962,0.679,0.6875,0.759
4,RobustScaler,100,None,0.7037,0.72,0.6667,0.6923,0.7583
4,RobustScaler,100,10,0.7099,0.7429,0.642,0.6887,0.784
4,RobustScaler,100,20,0.7037,0.7143,0.679,0.6962,0.7638
4,RobustScaler,200,None,0.6975,0.7051,0.679,0.6918,0.7578
4,RobustScaler,200,10,0.7037,0.7324,0.642,0.6842,0.7811
4,RobustScaler,200,20,0.6914,0.6962,0.679,0.6875,0.759
4,Normalizer,100,None,0.6728,0.6842,0.642,0.6624,0.7241
4,Normalizer,100,10,0.6358,0.6833,0.5062,0.5816,0.7183
4,Normalizer,100,20,0.6728,0.6842,0.642,0.6624,0.7197
4,Normalizer,200,None,0.679,0.6883,0.6543,0.6709,0.7252
4,Normalizer,200,10,0.6543,0.7119,0.5185,0.6,0.7224
4,Normalizer,200,20,0.679,0.6883,0.6543,0.6709,0.7238
5,NoScaler,100,None,0.7716,0.7821,0.7531,0.7673,0.8083
5,NoScaler,100,10,0.7469,0.7857,0.679,0.7285,0.808
5,NoScaler,100,20,0.7469,0.7564,0.7284,0.7421,0.8062
5,NoScaler,200,None,0.7716,0.775,0.7654,0.7702,0.8069
5,NoScaler,200,10,0.7407,0.7746,0.679,0.7237,0.8064
5,NoScaler,200,20,0.7593,0.7561,0.7654,0.7607,0.8057
5,StandardScaler,100,None,0.7716,0.7821,0.7531,0.7673,0.8083
5,StandardScaler,100,10,0.7469,0.7857,0.679,0.7285,0.808
5,StandardScaler,100,20,0.7469,0.7564,0.7284,0.7421,0.8062
5,StandardScaler,200,None,0.7716,0.775,0.7654,0.7702,0.8069
5,StandardScaler,200,10,0.7407,0.7746,0.679,0.7237,0.8064
5,StandardScaler,200,20,0.7593,0.7561,0.7654,0.7607,0.8057
5,MinMaxScaler,100,None,0.7716,0.7821,0.7531,0.7673,0.8083
5,MinMaxScaler,100,10,0.7469,0.7857,0.679,0.7285,0.808
