Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,100,20,0.7242,0.7523,0.6701,0.7077,0.7713
NoScaler,100,20,0.7242,0.7523,0.6701,0.7077,0.7713
MinMaxScaler,100,20,0.7242,0.7523,0.6701,0.7077,0.7713
StandardScaler,100,20,0.7242,0.7523,0.6701,0.7077,0.7713
StandardScaler,100,10,0.7192,0.7632,0.6381,0.694,0.7711
RobustScaler,100,10,0.7192,0.7632,0.6381,0.694,0.7711
MinMaxScaler,100,10,0.7192,0.7632,0.6381,0.694,0.7711
NoScaler,100,10,0.7192,0.7632,0.6381,0.694,0.7711
StandardScaler,100,None,0.7254,0.753,0.6701,0.7082,0.7701
RobustScaler,100,None,0.7254,0.753,0.6701,0.7082,0.7701
MinMaxScaler,100,None,0.7254,0.753,0.6701,0.7082,0.7701
NoScaler,100,None,0.7254,0.753,0.6701,0.7082,0.7701
NoScaler,200,10,0.7168,0.7596,0.6356,0.691,0.7698
StandardScaler,200,10,0.7168,0.7596,0.6356,0.691,0.7698
MinMaxScaler,200,10,0.7168,0.7596,0.6356,0.691,0.7698
RobustScaler,200,10,0.7168,0.7596,0.6356,0.691,0.7698
RobustScaler,200,None,0.7242,0.749,0.6751,0.7084,0.7696
StandardScaler,200,None,0.7242,0.749,0.6751,0.7084,0.7696
NoScaler,200,None,0.7242,0.749,0.6751,0.7084,0.7696
MinMaxScaler,200,None,0.7242,0.749,0.6751,0.7084,0.7696
RobustScaler,200,20,0.7193,0.7429,0.6726,0.7041,0.7695
NoScaler,200,20,0.7193,0.7429,0.6726,0.7041,0.7695
MinMaxScaler,200,20,0.7193,0.7429,0.6726,0.7041,0.7695
StandardScaler,200,20,0.7193,0.7429,0.6726,0.7041,0.7695
Normalizer,200,None,0.6429,0.6407,0.6553,0.6467,0.7019
Normalizer,200,20,0.6429,0.641,0.6529,0.6458,0.7015
Normalizer,200,10,0.6676,0.7076,0.5691,0.6302,0.7009
Normalizer,100,20,0.6466,0.6454,0.6504,0.647,0.6999
Normalizer,100,10,0.6601,0.6953,0.5666,0.6236,0.6994
Normalizer,100,None,0.6417,0.6399,0.6529,0.645,0.6991
