Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
Normalizer,100,4,0.05,0.6579,0.6947,0.8684,0.7719,0.7278
Normalizer,200,4,0.05,0.6667,0.6979,0.8816,0.7791,0.7181
Normalizer,200,8,0.1,0.7018,0.7333,0.8684,0.7952,0.7147
Normalizer,100,4,0.1,0.6316,0.6735,0.8684,0.7586,0.7143
Normalizer,100,8,0.1,0.6579,0.6989,0.8553,0.7692,0.7081
NoScaler,200,6,0.1,0.6491,0.7,0.8289,0.759,0.7057
RobustScaler,200,6,0.1,0.6491,0.7,0.8289,0.759,0.7057
MinMaxScaler,200,6,0.1,0.6491,0.7,0.8289,0.759,0.7057
StandardScaler,200,6,0.1,0.6491,0.7,0.8289,0.759,0.7057
NoScaler,200,4,0.1,0.6842,0.7174,0.8684,0.7857,0.7033
MinMaxScaler,200,4,0.1,0.6842,0.7174,0.8684,0.7857,0.7033
RobustScaler,200,4,0.1,0.6842,0.7174,0.8684,0.7857,0.7033
StandardScaler,200,4,0.1,0.6842,0.7174,0.8684,0.7857,0.7033
Normalizer,200,6,0.1,0.6316,0.6889,0.8158,0.747,0.7029
MinMaxScaler,100,6,0.1,0.6228,0.6854,0.8026,0.7394,0.7015
NoScaler,100,6,0.1,0.6228,0.6854,0.8026,0.7394,0.7015
RobustScaler,100,6,0.1,0.6228,0.6854,0.8026,0.7394,0.7015
StandardScaler,100,6,0.1,0.6228,0.6854,0.8026,0.7394,0.7015
NoScaler,200,8,0.05,0.6404,0.6966,0.8158,0.7515,0.7001
StandardScaler,200,8,0.05,0.6404,0.6966,0.8158,0.7515,0.7001
MinMaxScaler,200,8,0.05,0.6404,0.6966,0.8158,0.7515,0.7001
RobustScaler,200,8,0.05,0.6404,0.6966,0.8158,0.7515,0.7001
NoScaler,100,4,0.1,0.6579,0.7033,0.8421,0.7665,0.6991
RobustScaler,100,4,0.1,0.6579,0.7033,0.8421,0.7665,0.6991
StandardScaler,100,4,0.1,0.6579,0.7033,0.8421,0.7665,0.6991
MinMaxScaler,100,4,0.1,0.6579,0.7033,0.8421,0.7665,0.6991
MinMaxScaler,200,6,0.05,0.6404,0.6966,0.8158,0.7515,0.6953
RobustScaler,200,6,0.05,0.6404,0.6966,0.8158,0.7515,0.6953
NoScaler,200,6,0.05,0.6404,0.6966,0.8158,0.7515,0.6953
StandardScaler,200,6,0.05,0.6404,0.6966,0.8158,0.7515,0.6953
Normalizer,200,8,0.05,0.6228,0.6813,0.8158,0.7425,0.6929
RobustScaler,200,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6898
StandardScaler,200,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6898
MinMaxScaler,200,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6898
Normalizer,200,4,0.1,0.6491,0.6915,0.8553,0.7647,0.6898
NoScaler,200,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6898
MinMaxScaler,100,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6891
NoScaler,100,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6891
StandardScaler,100,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6891
Normalizer,100,8,0.05,0.6579,0.6947,0.8684,0.7719,0.6891
RobustScaler,100,8,0.1,0.6754,0.7191,0.8421,0.7758,0.6891
Normalizer,100,6,0.1,0.6228,0.6737,0.8421,0.7485,0.6887
MinMaxScaler,200,4,0.05,0.6316,0.6848,0.8289,0.75,0.6887
RobustScaler,200,4,0.05,0.6316,0.6848,0.8289,0.75,0.6887
NoScaler,200,4,0.05,0.6316,0.6848,0.8289,0.75,0.6887
StandardScaler,200,4,0.05,0.6316,0.6848,0.8289,0.75,0.6887
RobustScaler,100,4,0.05,0.6316,0.6771,0.8553,0.7558,0.6863
MinMaxScaler,100,4,0.05,0.6316,0.6771,0.8553,0.7558,0.6863
StandardScaler,100,4,0.05,0.6316,0.6771,0.8553,0.7558,0.6863
NoScaler,100,4,0.05,0.6316,0.6771,0.8553,0.7558,0.6863
MinMaxScaler,100,6,0.05,0.614,0.6778,0.8026,0.7349,0.6839
StandardScaler,100,6,0.05,0.614,0.6778,0.8026,0.7349,0.6839
RobustScaler,100,6,0.05,0.614,0.6778,0.8026,0.7349,0.6839
Normalizer,200,6,0.05,0.6053,0.6632,0.8289,0.7368,0.6839
NoScaler,100,6,0.05,0.614,0.6778,0.8026,0.7349,0.6839
MinMaxScaler,100,8,0.05,0.6404,0.6966,0.8158,0.7515,0.6804
RobustScaler,100,8,0.05,0.6404,0.6966,0.8158,0.7515,0.6804
StandardScaler,100,8,0.05,0.6404,0.6966,0.8158,0.7515,0.6804
NoScaler,100,8,0.05,0.6404,0.6966,0.8158,0.7515,0.6804
Normalizer,100,6,0.05,0.6228,0.6667,0.8684,0.7543,0.6769
