Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,200,4,0.1,0.7105,0.8082,0.7564,0.7815,0.724
NoScaler,200,4,0.1,0.7105,0.8082,0.7564,0.7815,0.724
MinMaxScaler,200,4,0.1,0.7105,0.8082,0.7564,0.7815,0.724
RobustScaler,200,4,0.1,0.7105,0.8082,0.7564,0.7815,0.724
NoScaler,100,4,0.1,0.6842,0.7917,0.7308,0.76,0.7105
MinMaxScaler,100,4,0.1,0.6842,0.7917,0.7308,0.76,0.7105
StandardScaler,100,4,0.1,0.6842,0.7917,0.7308,0.76,0.7105
RobustScaler,100,4,0.1,0.6842,0.7917,0.7308,0.76,0.7105
StandardScaler,200,8,0.1,0.6667,0.7564,0.7564,0.7564,0.6994
MinMaxScaler,200,8,0.1,0.6667,0.7564,0.7564,0.7564,0.6994
NoScaler,200,8,0.1,0.6667,0.7564,0.7564,0.7564,0.6994
RobustScaler,200,8,0.1,0.6667,0.7564,0.7564,0.7564,0.6994
StandardScaler,200,6,0.05,0.6842,0.7917,0.7308,0.76,0.6973
MinMaxScaler,200,6,0.05,0.6842,0.7917,0.7308,0.76,0.6973
RobustScaler,200,6,0.05,0.6842,0.7917,0.7308,0.76,0.6973
NoScaler,200,6,0.05,0.6842,0.7917,0.7308,0.76,0.6973
RobustScaler,200,6,0.1,0.6842,0.7838,0.7436,0.7632,0.6912
StandardScaler,200,6,0.1,0.6842,0.7838,0.7436,0.7632,0.6912
MinMaxScaler,200,6,0.1,0.6842,0.7838,0.7436,0.7632,0.6912
NoScaler,200,6,0.1,0.6842,0.7838,0.7436,0.7632,0.6912
StandardScaler,100,8,0.05,0.693,0.7792,0.7692,0.7742,0.6902
MinMaxScaler,100,8,0.05,0.693,0.7792,0.7692,0.7742,0.6902
RobustScaler,100,8,0.05,0.693,0.7792,0.7692,0.7742,0.6902
NoScaler,100,8,0.05,0.693,0.7792,0.7692,0.7742,0.6902
Normalizer,100,8,0.05,0.6579,0.7671,0.7179,0.7417,0.688
NoScaler,200,4,0.05,0.6579,0.7746,0.7051,0.7383,0.688
RobustScaler,200,4,0.05,0.6579,0.7746,0.7051,0.7383,0.688
StandardScaler,200,4,0.05,0.6579,0.7746,0.7051,0.7383,0.688
MinMaxScaler,200,4,0.05,0.6579,0.7746,0.7051,0.7383,0.688
StandardScaler,100,8,0.1,0.6579,0.7532,0.7436,0.7484,0.6877
MinMaxScaler,100,8,0.1,0.6579,0.7532,0.7436,0.7484,0.6877
NoScaler,100,8,0.1,0.6579,0.7532,0.7436,0.7484,0.6877
RobustScaler,100,8,0.1,0.6579,0.7532,0.7436,0.7484,0.6877
MinMaxScaler,100,6,0.05,0.6754,0.7887,0.7179,0.7517,0.6866
NoScaler,100,6,0.05,0.6754,0.7887,0.7179,0.7517,0.6866
StandardScaler,100,6,0.05,0.6754,0.7887,0.7179,0.7517,0.6866
RobustScaler,100,6,0.05,0.6754,0.7887,0.7179,0.7517,0.6866
Normalizer,200,8,0.05,0.6842,0.7838,0.7436,0.7632,0.6848
NoScaler,100,4,0.05,0.6754,0.7971,0.7051,0.7483,0.6841
MinMaxScaler,100,4,0.05,0.6754,0.7971,0.7051,0.7483,0.6841
StandardScaler,100,4,0.05,0.6754,0.7971,0.7051,0.7483,0.6841
RobustScaler,100,4,0.05,0.6754,0.7971,0.7051,0.7483,0.6841
MinMaxScaler,200,8,0.05,0.6667,0.7703,0.7308,0.75,0.6838
StandardScaler,200,8,0.05,0.6667,0.7703,0.7308,0.75,0.6838
RobustScaler,200,8,0.05,0.6667,0.7703,0.7308,0.75,0.6838
NoScaler,200,8,0.05,0.6667,0.7703,0.7308,0.75,0.6838
RobustScaler,100,6,0.1,0.693,0.7945,0.7436,0.7682,0.6795
MinMaxScaler,100,6,0.1,0.693,0.7945,0.7436,0.7682,0.6795
StandardScaler,100,6,0.1,0.693,0.7945,0.7436,0.7682,0.6795
NoScaler,100,6,0.1,0.693,0.7945,0.7436,0.7682,0.6795
Normalizer,100,8,0.1,0.6667,0.7632,0.7436,0.7532,0.6745
Normalizer,100,4,0.05,0.6404,0.7937,0.641,0.7092,0.6741
Normalizer,200,6,0.05,0.6228,0.7465,0.6795,0.7114,0.6709
Normalizer,200,8,0.1,0.6842,0.7692,0.7692,0.7692,0.6695
Normalizer,100,6,0.05,0.6228,0.7778,0.6282,0.695,0.6667
Normalizer,100,6,0.1,0.6316,0.7647,0.6667,0.7123,0.6638
Normalizer,200,4,0.05,0.5877,0.7246,0.641,0.6803,0.6592
Normalizer,200,6,0.1,0.6316,0.75,0.6923,0.72,0.6592
Normalizer,200,4,0.1,0.6404,0.7467,0.7179,0.732,0.6471
Normalizer,100,4,0.1,0.5877,0.7246,0.641,0.6803,0.6471
