Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,100,4,0.01,0.681,0.7778,0.5122,0.6176,0.7004
1,NoScaler,100,4,0.1,0.6933,0.75,0.5854,0.6575,0.6999
1,NoScaler,100,6,0.01,0.6748,0.6933,0.6341,0.6624,0.7217
1,NoScaler,100,6,0.1,0.6871,0.7385,0.5854,0.6531,0.7177
1,NoScaler,100,8,0.01,0.6933,0.7581,0.5732,0.6528,0.7302
1,NoScaler,100,8,0.1,0.6933,0.75,0.5854,0.6575,0.7237
1,NoScaler,200,4,0.01,0.681,0.7273,0.5854,0.6486,0.7011
1,NoScaler,200,4,0.1,0.6748,0.7302,0.561,0.6345,0.702
1,NoScaler,200,6,0.01,0.6994,0.7538,0.5976,0.6667,0.7315
1,NoScaler,200,6,0.1,0.6933,0.7581,0.5732,0.6528,0.7247
1,NoScaler,200,8,0.01,0.6933,0.7353,0.6098,0.6667,0.7277
1,NoScaler,200,8,0.1,0.681,0.7273,0.5854,0.6486,0.727
1,StandardScaler,100,4,0.01,0.681,0.7778,0.5122,0.6176,0.7004
1,StandardScaler,100,4,0.1,0.6933,0.75,0.5854,0.6575,0.6999
1,StandardScaler,100,6,0.01,0.6748,0.6933,0.6341,0.6624,0.7217
1,StandardScaler,100,6,0.1,0.6871,0.7385,0.5854,0.6531,0.7177
1,StandardScaler,100,8,0.01,0.6933,0.7581,0.5732,0.6528,0.7302
1,StandardScaler,100,8,0.1,0.6933,0.75,0.5854,0.6575,0.7237
1,StandardScaler,200,4,0.01,0.681,0.7273,0.5854,0.6486,0.7011
1,StandardScaler,200,4,0.1,0.6748,0.7302,0.561,0.6345,0.702
1,StandardScaler,200,6,0.01,0.6994,0.7538,0.5976,0.6667,0.7315
1,StandardScaler,200,6,0.1,0.6933,0.7581,0.5732,0.6528,0.7247
1,StandardScaler,200,8,0.01,0.6933,0.7353,0.6098,0.6667,0.7277
1,StandardScaler,200,8,0.1,0.681,0.7273,0.5854,0.6486,0.727
1,MinMaxScaler,100,4,0.01,0.681,0.7778,0.5122,0.6176,0.7004
1,MinMaxScaler,100,4,0.1,0.6933,0.75,0.5854,0.6575,0.6999
1,MinMaxScaler,100,6,0.01,0.6748,0.6933,0.6341,0.6624,0.7217
1,MinMaxScaler,100,6,0.1,0.6871,0.7385,0.5854,0.6531,0.718
1,MinMaxScaler,100,8,0.01,0.6933,0.7581,0.5732,0.6528,0.7302
1,MinMaxScaler,100,8,0.1,0.681,0.7273,0.5854,0.6486,0.7301
