Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,200,6,0.1,0.6958,0.7174,0.6504,0.6809,0.7501
NoScaler,200,6,0.1,0.6946,0.7167,0.648,0.679,0.7491
MinMaxScaler,200,6,0.1,0.6971,0.7199,0.6504,0.6818,0.7486
StandardScaler,200,6,0.1,0.6983,0.722,0.648,0.6815,0.7481
StandardScaler,200,8,0.1,0.6848,0.6963,0.6578,0.6754,0.7477
MinMaxScaler,100,8,0.1,0.6786,0.6966,0.6356,0.6639,0.7472
RobustScaler,200,8,0.1,0.686,0.6971,0.6603,0.6771,0.7472
NoScaler,200,8,0.1,0.686,0.6971,0.6603,0.6771,0.7472
NoScaler,100,8,0.1,0.6811,0.7011,0.6356,0.6657,0.7466
RobustScaler,100,8,0.1,0.6811,0.7011,0.6356,0.6657,0.7466
MinMaxScaler,200,8,0.1,0.6872,0.6987,0.6603,0.678,0.7465
MinMaxScaler,100,6,0.1,0.6774,0.7012,0.6232,0.6592,0.7465
RobustScaler,100,6,0.1,0.6774,0.7012,0.6232,0.6592,0.7464
NoScaler,100,6,0.1,0.6774,0.7012,0.6232,0.6592,0.7464
StandardScaler,100,8,0.1,0.6823,0.702,0.6381,0.6674,0.7462
StandardScaler,100,6,0.1,0.6811,0.7054,0.6257,0.6625,0.7461
RobustScaler,200,8,0.01,0.6811,0.7105,0.6133,0.658,0.7446
NoScaler,200,8,0.01,0.6811,0.7105,0.6133,0.658,0.7446
MinMaxScaler,200,8,0.01,0.6811,0.7105,0.6133,0.658,0.7446
RobustScaler,200,4,0.1,0.6835,0.7102,0.6258,0.6638,0.7445
NoScaler,200,4,0.1,0.6835,0.7102,0.6258,0.6638,0.7445
StandardScaler,200,8,0.01,0.6811,0.7105,0.6133,0.658,0.7443
MinMaxScaler,100,6,0.01,0.6786,0.7082,0.6058,0.652,0.7441
RobustScaler,100,6,0.01,0.6786,0.7082,0.6058,0.652,0.7441
StandardScaler,100,6,0.01,0.6786,0.7082,0.6058,0.652,0.7441
NoScaler,100,6,0.01,0.6786,0.7082,0.6058,0.652,0.7441
StandardScaler,200,4,0.1,0.686,0.7136,0.6258,0.6654,0.7435
MinMaxScaler,200,4,0.1,0.6848,0.713,0.6233,0.6639,0.7425
StandardScaler,100,8,0.01,0.6897,0.738,0.5887,0.6538,0.7419
RobustScaler,100,8,0.01,0.6897,0.738,0.5887,0.6538,0.7419
NoScaler,100,8,0.01,0.6897,0.738,0.5887,0.6538,0.7419
MinMaxScaler,100,8,0.01,0.6897,0.738,0.5887,0.6538,0.7419
StandardScaler,200,6,0.01,0.6885,0.7267,0.6035,0.6592,0.7415
NoScaler,200,6,0.01,0.6885,0.7267,0.6035,0.6592,0.7415
RobustScaler,200,6,0.01,0.6885,0.7267,0.6035,0.6592,0.7415
RobustScaler,100,4,0.1,0.6848,0.7134,0.6233,0.6642,0.7413
MinMaxScaler,200,6,0.01,0.6897,0.7289,0.6035,0.6601,0.7413
StandardScaler,100,4,0.1,0.6848,0.7134,0.6233,0.6642,0.7413
NoScaler,100,4,0.1,0.6848,0.7134,0.6233,0.6642,0.7413
MinMaxScaler,100,4,0.1,0.686,0.7151,0.6233,0.6651,0.7411
MinMaxScaler,200,4,0.01,0.6947,0.7273,0.6208,0.6695,0.7408
StandardScaler,200,4,0.01,0.6947,0.7273,0.6208,0.6695,0.7408
RobustScaler,200,4,0.01,0.6947,0.7273,0.6208,0.6695,0.7408
NoScaler,200,4,0.01,0.6947,0.7273,0.6208,0.6695,0.7408
StandardScaler,100,4,0.01,0.6935,0.7337,0.6086,0.6627,0.7373
MinMaxScaler,100,4,0.01,0.6935,0.7337,0.6086,0.6627,0.7373
RobustScaler,100,4,0.01,0.6935,0.7337,0.6086,0.6627,0.7373
NoScaler,100,4,0.01,0.6935,0.7337,0.6086,0.6627,0.7373
Normalizer,200,4,0.1,0.6502,0.6851,0.5589,0.6132,0.7099
Normalizer,200,6,0.1,0.649,0.6746,0.5762,0.6194,0.7084
Normalizer,100,4,0.1,0.6515,0.6958,0.5393,0.6062,0.7079
Normalizer,200,8,0.01,0.6552,0.6993,0.5418,0.6093,0.7065
Normalizer,100,8,0.1,0.6527,0.6889,0.5614,0.6156,0.7056
Normalizer,200,8,0.1,0.665,0.6914,0.5934,0.6373,0.7043
Normalizer,100,8,0.01,0.6564,0.703,0.5393,0.61,0.7041
Normalizer,100,6,0.1,0.6527,0.6929,0.5516,0.6121,0.704
Normalizer,100,6,0.01,0.6625,0.7249,0.527,0.6083,0.7033
Normalizer,100,4,0.01,0.6811,0.7659,0.5221,0.6198,0.7016
Normalizer,200,6,0.01,0.6576,0.719,0.5146,0.5987,0.6969
Normalizer,200,4,0.01,0.6823,0.7689,0.5221,0.6208,0.6952
