Dataset,Task,K,Weights,Metric,P,Best_CV_Acc,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Train_Time_s,Test_Time_s,Scaler,Timestamp
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7838,0.5385,0.5551,0.4872,0.0007,0.0158,,20251119_221520
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7748,0.547,0.5625,0.4936,0.0009,0.0154,,20251119_221520
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7718,0.5556,0.575,0.522,0.0006,0.0162,,20251119_221520
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7147,0.5214,0.5424,0.4852,0.0006,0.0151,,20251119_221520
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7717,0.6068,0.6249,0.5847,0.0007,0.0152,StandardScaler,20251119_221520
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7628,0.6325,0.6485,0.6214,0.0008,0.0157,StandardScaler,20251119_221520
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7492,0.5897,0.608,0.5761,0.0007,0.0152,StandardScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7253,0.5812,0.5995,0.5686,0.0006,0.0156,StandardScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7643,0.6154,0.6327,0.6013,0.0007,0.0157,MinMaxScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7388,0.6154,0.6322,0.6038,0.0006,0.0142,MinMaxScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7372,0.5556,0.5753,0.5408,0.0006,0.0153,MinMaxScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7087,0.547,0.5668,0.5334,0.0006,0.0157,MinMaxScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.8228,0.6667,0.6815,0.6432,0.0007,0.0128,RobustScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7958,0.6496,0.6657,0.6314,0.0006,0.015,RobustScaler,20251119_221521
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7913,0.5983,0.6151,0.5886,0.0006,0.0137,RobustScaler,20251119_221522
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7432,0.6239,0.6406,0.6114,0.0006,0.0161,RobustScaler,20251119_221522
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7553,0.5556,0.5698,0.5,0.0007,0.0162,Normalizer,20251119_221522
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7553,0.5128,0.5345,0.4785,0.001,0.0575,Normalizer,20251119_221522
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7402,0.5641,0.5835,0.5334,0.0007,0.0156,Normalizer,20251119_221522
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.6561,0.5043,0.5255,0.4908,0.0007,0.0166,Normalizer,20251119_221522
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7748,0.6154,0.633,0.5985,0.0006,0.0155,MaxAbsScaler,20251119_221522
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7583,0.6068,0.6247,0.591,0.0006,0.0301,MaxAbsScaler,20251119_221522
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7357,0.5812,0.5977,0.5732,0.0008,0.0137,MaxAbsScaler,20251119_221523
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7042,0.5299,0.5495,0.5185,0.0006,0.0159,MaxAbsScaler,20251119_221523
indian_liver_patient_preprocessed.csv,binary,3,distance,euclidean,2,0.7928,0.6838,0.6982,0.6645,0.0011,0.0144,QuantileTransformer,20251119_221523
indian_liver_patient_preprocessed.csv,binary,5,distance,euclidean,2,0.7898,0.7009,0.7145,0.6827,0.0007,0.0167,QuantileTransformer,20251119_221523
indian_liver_patient_preprocessed.csv,binary,7,distance,manhattan,1,0.7838,0.6239,0.64,0.6137,0.0007,0.0132,QuantileTransformer,20251119_221523
indian_liver_patient_preprocessed.csv,binary,9,uniform,euclidean,2,0.7312,0.5983,0.6098,0.5953,0.0006,0.0162,QuantileTransformer,20251119_221523
