Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,200,None,0.8466,0.8463,0.8466,0.8459,0.9481
NoScaler,200,None,0.8466,0.8462,0.8466,0.846,0.9482
RobustScaler,200,None,0.8466,0.8461,0.8466,0.846,0.9481
MinMaxScaler,200,None,0.846,0.8457,0.846,0.8454,0.9479
NoScaler,200,20,0.8443,0.844,0.8443,0.8437,0.9493
MinMaxScaler,200,20,0.8438,0.8434,0.8438,0.8431,0.9491
NoScaler,100,20,0.8426,0.8421,0.8426,0.8422,0.9489
StandardScaler,200,20,0.842,0.8416,0.842,0.8414,0.9492
NoScaler,100,None,0.842,0.8412,0.842,0.8413,0.9459
StandardScaler,100,20,0.842,0.8416,0.842,0.8415,0.9489
RobustScaler,200,20,0.8415,0.8411,0.8415,0.8409,0.9492
RobustScaler,100,None,0.8415,0.8406,0.8415,0.8407,0.9459
RobustScaler,100,20,0.8415,0.841,0.8415,0.841,0.9489
MinMaxScaler,100,None,0.8409,0.8401,0.8409,0.8401,0.9457
StandardScaler,100,None,0.8409,0.8401,0.8409,0.8402,0.9459
MinMaxScaler,100,20,0.8392,0.8387,0.8392,0.8387,0.9487
NoScaler,200,10,0.7972,0.7993,0.7972,0.7972,0.9316
RobustScaler,200,10,0.7972,0.799,0.7972,0.7972,0.9315
MinMaxScaler,200,10,0.7972,0.7993,0.7972,0.7972,0.9316
StandardScaler,200,10,0.7972,0.799,0.7972,0.7972,0.9315
NoScaler,100,10,0.7966,0.7982,0.7966,0.7967,0.9309
RobustScaler,100,10,0.796,0.7977,0.796,0.7962,0.9309
MinMaxScaler,100,10,0.796,0.7977,0.796,0.7962,0.931
StandardScaler,100,10,0.7955,0.797,0.7955,0.7956,0.9309
Normalizer,100,None,0.7358,0.7343,0.7358,0.7345,0.8802
Normalizer,200,None,0.7312,0.7295,0.7312,0.7296,0.882
Normalizer,200,20,0.7312,0.7295,0.7312,0.7293,0.8816
Normalizer,100,20,0.729,0.7271,0.729,0.7272,0.8805
Normalizer,200,10,0.7091,0.7071,0.7091,0.7073,0.8664
Normalizer,100,10,0.7074,0.7052,0.7074,0.7054,0.866
