Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,None,0.834,0.8342,0.834,0.8341,0.9442
NoScaler,200,None,0.8334,0.8337,0.8334,0.8335,0.9443
RobustScaler,200,None,0.8334,0.8337,0.8334,0.8335,0.9443
StandardScaler,200,None,0.8329,0.8331,0.8329,0.833,0.9442
NoScaler,100,20,0.83,0.8302,0.83,0.8301,0.945
MinMaxScaler,100,None,0.8283,0.8284,0.8283,0.8284,0.9425
MinMaxScaler,100,20,0.8283,0.8284,0.8283,0.8283,0.945
RobustScaler,100,20,0.8277,0.8278,0.8277,0.8278,0.9449
MinMaxScaler,200,20,0.8277,0.8278,0.8277,0.8278,0.9456
StandardScaler,100,20,0.8277,0.8279,0.8277,0.8278,0.945
RobustScaler,200,20,0.8272,0.8272,0.8272,0.8272,0.9456
NoScaler,100,None,0.8272,0.8272,0.8272,0.8272,0.9424
StandardScaler,200,20,0.8272,0.8274,0.8272,0.8273,0.9456
NoScaler,200,20,0.8272,0.8273,0.8272,0.8272,0.9456
StandardScaler,100,None,0.8266,0.8267,0.8266,0.8266,0.9425
RobustScaler,100,None,0.826,0.826,0.826,0.826,0.9424
StandardScaler,100,10,0.7862,0.7864,0.7862,0.7862,0.9227
RobustScaler,100,10,0.7857,0.7858,0.7857,0.7856,0.9228
NoScaler,100,10,0.7851,0.7852,0.7851,0.7851,0.9227
MinMaxScaler,100,10,0.7851,0.7852,0.7851,0.7851,0.9228
StandardScaler,200,10,0.78,0.7801,0.78,0.78,0.923
MinMaxScaler,200,10,0.78,0.78,0.78,0.7799,0.923
RobustScaler,200,10,0.78,0.78,0.78,0.78,0.923
NoScaler,200,10,0.7794,0.7794,0.7794,0.7794,0.923
Normalizer,200,20,0.7231,0.7228,0.7231,0.7229,0.8744
Normalizer,100,20,0.7197,0.7194,0.7197,0.7196,0.874
Normalizer,100,None,0.7186,0.7185,0.7186,0.7185,0.8738
Normalizer,200,None,0.7186,0.718,0.7186,0.7182,0.8745
Normalizer,200,10,0.6958,0.6958,0.6958,0.6949,0.8526
Normalizer,100,10,0.6902,0.6899,0.6902,0.6892,0.8512
