Fold,Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,100,None,0.6012,0.6015,0.6012,0.6013,0.7856
1,NoScaler,100,10,0.5985,0.5977,0.5985,0.5978,0.7654
1,NoScaler,100,20,0.6078,0.6078,0.6078,0.6077,0.7889
1,NoScaler,200,None,0.5996,0.6,0.5996,0.5997,0.7858
1,NoScaler,200,10,0.5957,0.5952,0.5957,0.5954,0.7664
1,NoScaler,200,20,0.6007,0.6006,0.6007,0.6006,0.789
1,StandardScaler,100,None,0.599,0.5993,0.599,0.5991,0.7853
1,StandardScaler,100,10,0.5952,0.5944,0.5952,0.5944,0.7651
1,StandardScaler,100,20,0.6023,0.6025,0.6023,0.6024,0.7897
1,StandardScaler,200,None,0.6034,0.6036,0.6034,0.6034,0.7854
1,StandardScaler,200,10,0.5957,0.5952,0.5957,0.5953,0.7663
1,StandardScaler,200,20,0.6012,0.6012,0.6012,0.6012,0.7897
1,MinMaxScaler,100,None,0.6034,0.6035,0.6034,0.6035,0.7874
1,MinMaxScaler,100,10,0.5908,0.5899,0.5908,0.5901,0.7651
1,MinMaxScaler,100,20,0.6078,0.6079,0.6078,0.6078,0.79
1,MinMaxScaler,200,None,0.6056,0.6058,0.6056,0.6057,0.7869
1,MinMaxScaler,200,10,0.5924,0.5919,0.5924,0.5921,0.7664
1,MinMaxScaler,200,20,0.6056,0.6057,0.6056,0.6056,0.7901
1,RobustScaler,100,None,0.6029,0.6032,0.6029,0.603,0.7861
1,RobustScaler,100,10,0.5968,0.5961,0.5968,0.5962,0.764
1,RobustScaler,100,20,0.6111,0.6111,0.6111,0.611,0.7921
1,RobustScaler,200,None,0.6039,0.6045,0.6039,0.6042,0.786
1,RobustScaler,200,10,0.5985,0.5981,0.5985,0.5982,0.7667
1,RobustScaler,200,20,0.6061,0.6061,0.6061,0.6061,0.7915
1,Normalizer,100,None,0.5354,0.5349,0.5354,0.5351,0.7191
1,Normalizer,100,10,0.5568,0.5564,0.5568,0.5562,0.7295
1,Normalizer,100,20,0.5359,0.5355,0.5359,0.5356,0.7232
1,Normalizer,200,None,0.5365,0.536,0.5365,0.5362,0.7198
1,Normalizer,200,10,0.5568,0.5563,0.5568,0.5561,0.7312
1,Normalizer,200,20,0.537,0.5366,0.537,0.5367,0.7237
2,NoScaler,100,None,0.6061,0.6061,0.6061,0.6061,0.7827
2,NoScaler,100,10,0.6105,0.6103,0.6105,0.6101,0.77
2,NoScaler,100,20,0.6188,0.6187,0.6188,0.6187,0.7882
2,NoScaler,200,None,0.6089,0.6089,0.6089,0.6089,0.7839
2,NoScaler,200,10,0.6193,0.619,0.6193,0.619,0.7724
2,NoScaler,200,20,0.6188,0.6187,0.6188,0.6187,0.789
2,StandardScaler,100,None,0.6034,0.6033,0.6034,0.6033,0.7828
2,StandardScaler,100,10,0.6204,0.6203,0.6204,0.6199,0.7708
2,StandardScaler,100,20,0.6226,0.6226,0.6226,0.6226,0.7878
2,StandardScaler,200,None,0.6072,0.6071,0.6072,0.6072,0.7842
2,StandardScaler,200,10,0.6182,0.618,0.6182,0.6179,0.773
2,StandardScaler,200,20,0.6237,0.6237,0.6237,0.6237,0.7886
2,MinMaxScaler,100,None,0.6089,0.6089,0.6089,0.6089,0.783
2,MinMaxScaler,100,10,0.616,0.6159,0.616,0.6157,0.769
2,MinMaxScaler,100,20,0.6281,0.6279,0.6281,0.628,0.7878
2,MinMaxScaler,200,None,0.6122,0.6122,0.6122,0.6122,0.7839
2,MinMaxScaler,200,10,0.6166,0.6164,0.6166,0.6162,0.7713
2,MinMaxScaler,200,20,0.6253,0.6252,0.6253,0.6253,0.7882
2,RobustScaler,100,None,0.6089,0.6089,0.6089,0.6089,0.7834
2,RobustScaler,100,10,0.6188,0.6187,0.6188,0.6181,0.7717
2,RobustScaler,100,20,0.6242,0.6243,0.6242,0.6243,0.7886
2,RobustScaler,200,None,0.6089,0.6089,0.6089,0.6088,0.7849
2,RobustScaler,200,10,0.6221,0.622,0.6221,0.6217,0.7737
2,RobustScaler,200,20,0.6193,0.6193,0.6193,0.6192,0.7882
2,Normalizer,100,None,0.5529,0.5533,0.5529,0.553,0.7316
2,Normalizer,100,10,0.5869,0.588,0.5869,0.5872,0.7421
2,Normalizer,100,20,0.5551,0.5553,0.5551,0.5551,0.7366
