Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,200,20,0.6187,0.6185,0.6187,0.6185,0.7922
StandardScaler,200,20,0.618,0.6177,0.618,0.6177,0.7922
RobustScaler,100,20,0.6216,0.6215,0.6216,0.6214,0.7921
MinMaxScaler,200,20,0.6188,0.6186,0.6188,0.6186,0.7919
NoScaler,200,20,0.616,0.6158,0.616,0.6158,0.7918
StandardScaler,100,20,0.6181,0.618,0.6181,0.6179,0.7918
MinMaxScaler,100,20,0.6209,0.6208,0.6209,0.6207,0.7912
NoScaler,100,20,0.6175,0.6174,0.6175,0.6173,0.7912
RobustScaler,200,None,0.6104,0.6103,0.6104,0.6102,0.7884
MinMaxScaler,200,None,0.6121,0.6121,0.6121,0.612,0.7882
NoScaler,200,None,0.6097,0.6097,0.6097,0.6096,0.7879
StandardScaler,200,None,0.6103,0.6101,0.6103,0.6101,0.7877
RobustScaler,100,None,0.6107,0.6107,0.6107,0.6106,0.7876
MinMaxScaler,100,None,0.6102,0.6102,0.6102,0.6101,0.7874
NoScaler,100,None,0.6087,0.6086,0.6087,0.6086,0.7868
StandardScaler,100,None,0.6087,0.6086,0.6087,0.6086,0.7865
NoScaler,200,10,0.6126,0.613,0.6126,0.6119,0.7733
RobustScaler,200,10,0.6127,0.6132,0.6127,0.6121,0.7733
StandardScaler,200,10,0.6116,0.6121,0.6116,0.6109,0.7732
MinMaxScaler,200,10,0.6079,0.608,0.6079,0.6071,0.7723
NoScaler,100,10,0.6085,0.6089,0.6085,0.6077,0.7712
RobustScaler,100,10,0.61,0.6104,0.61,0.6092,0.771
StandardScaler,100,10,0.6096,0.61,0.6096,0.6088,0.7709
MinMaxScaler,100,10,0.6061,0.6062,0.6061,0.6051,0.7702
Normalizer,200,10,0.5766,0.5774,0.5766,0.5764,0.7446
Normalizer,100,10,0.5743,0.5755,0.5743,0.5742,0.7438
Normalizer,200,20,0.5485,0.5487,0.5485,0.5485,0.7355
Normalizer,100,20,0.5481,0.5483,0.5481,0.5481,0.7348
Normalizer,200,None,0.5459,0.546,0.5459,0.5459,0.7293
Normalizer,100,None,0.5458,0.546,0.5458,0.5458,0.7277
