Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8772,0.8781,0.8772,0.8775,0.9678
StandardScaler,200,8,0.1,0.8772,0.8781,0.8772,0.8775,0.9678
NoScaler,200,8,0.1,0.8772,0.8781,0.8772,0.8775,0.9678
RobustScaler,200,8,0.1,0.8772,0.8781,0.8772,0.8775,0.9678
StandardScaler,200,6,0.1,0.859,0.8606,0.859,0.8595,0.9638
MinMaxScaler,200,6,0.1,0.859,0.8606,0.859,0.8595,0.9638
NoScaler,200,6,0.1,0.859,0.8606,0.859,0.8595,0.9638
RobustScaler,200,6,0.1,0.859,0.8606,0.859,0.8595,0.9638
MinMaxScaler,100,8,0.1,0.8675,0.8689,0.8675,0.868,0.9631
RobustScaler,100,8,0.1,0.8675,0.8689,0.8675,0.868,0.9631
NoScaler,100,8,0.1,0.8675,0.8689,0.8675,0.868,0.9631
StandardScaler,100,8,0.1,0.8675,0.8689,0.8675,0.868,0.9631
RobustScaler,200,8,0.05,0.8624,0.8637,0.8624,0.8629,0.9628
MinMaxScaler,200,8,0.05,0.8624,0.8637,0.8624,0.8629,0.9628
StandardScaler,200,8,0.05,0.8624,0.8637,0.8624,0.8629,0.9628
NoScaler,200,8,0.05,0.8624,0.8637,0.8624,0.8629,0.9628
NoScaler,200,6,0.05,0.8459,0.8479,0.8459,0.8465,0.9551
StandardScaler,200,6,0.05,0.8459,0.8479,0.8459,0.8465,0.9551
RobustScaler,200,6,0.05,0.8459,0.8479,0.8459,0.8465,0.9551
MinMaxScaler,200,6,0.05,0.8459,0.8479,0.8459,0.8465,0.9551
StandardScaler,100,6,0.1,0.8408,0.8427,0.8408,0.8414,0.9543
RobustScaler,100,6,0.1,0.8408,0.8427,0.8408,0.8414,0.9543
NoScaler,100,6,0.1,0.8408,0.8427,0.8408,0.8414,0.9543
MinMaxScaler,100,6,0.1,0.8408,0.8427,0.8408,0.8414,0.9543
StandardScaler,100,8,0.05,0.8408,0.8425,0.8408,0.8414,0.9514
RobustScaler,100,8,0.05,0.8408,0.8425,0.8408,0.8414,0.9514
NoScaler,100,8,0.05,0.8408,0.8425,0.8408,0.8414,0.9514
MinMaxScaler,100,8,0.05,0.8408,0.8425,0.8408,0.8414,0.9514
MinMaxScaler,200,4,0.1,0.8221,0.8239,0.8221,0.8226,0.9428
RobustScaler,200,4,0.1,0.8221,0.8239,0.8221,0.8226,0.9428
StandardScaler,200,4,0.1,0.8221,0.8239,0.8221,0.8226,0.9428
NoScaler,200,4,0.1,0.8221,0.8239,0.8221,0.8226,0.9428
MinMaxScaler,100,6,0.05,0.809,0.8104,0.809,0.8095,0.9339
StandardScaler,100,6,0.05,0.809,0.8104,0.809,0.8095,0.9339
RobustScaler,100,6,0.05,0.809,0.8104,0.809,0.8095,0.9339
NoScaler,100,6,0.05,0.809,0.8104,0.809,0.8095,0.9339
NoScaler,100,4,0.1,0.7783,0.7806,0.7783,0.7789,0.9198
MinMaxScaler,100,4,0.1,0.7783,0.7806,0.7783,0.7789,0.9198
StandardScaler,100,4,0.1,0.7783,0.7806,0.7783,0.7789,0.9198
RobustScaler,100,4,0.1,0.7783,0.7806,0.7783,0.7789,0.9198
StandardScaler,200,4,0.05,0.7771,0.7798,0.7771,0.7779,0.9178
NoScaler,200,4,0.05,0.7771,0.7798,0.7771,0.7779,0.9178
RobustScaler,200,4,0.05,0.7771,0.7798,0.7771,0.7779,0.9178
MinMaxScaler,200,4,0.05,0.7771,0.7798,0.7771,0.7779,0.9178
NoScaler,100,4,0.05,0.7112,0.7147,0.7112,0.7112,0.8813
RobustScaler,100,4,0.05,0.7112,0.7147,0.7112,0.7112,0.8813
MinMaxScaler,100,4,0.05,0.7112,0.7147,0.7112,0.7112,0.8813
StandardScaler,100,4,0.05,0.7112,0.7147,0.7112,0.7112,0.8813
Normalizer,200,8,0.1,0.726,0.7282,0.726,0.7268,0.8792
Normalizer,200,6,0.1,0.7214,0.7241,0.7214,0.7224,0.8779
Normalizer,100,8,0.1,0.7271,0.7296,0.7271,0.7281,0.8763
Normalizer,200,8,0.05,0.7192,0.7221,0.7192,0.7203,0.873
Normalizer,100,6,0.1,0.7084,0.7106,0.7084,0.709,0.8684
Normalizer,200,6,0.05,0.7129,0.7152,0.7129,0.7137,0.8683
Normalizer,100,8,0.05,0.7089,0.7111,0.7089,0.7096,0.8651
Normalizer,200,4,0.1,0.701,0.702,0.701,0.7014,0.8618
Normalizer,100,6,0.05,0.6907,0.6925,0.6907,0.6908,0.8542
Normalizer,200,4,0.05,0.6623,0.6634,0.6623,0.6608,0.8386
Normalizer,100,4,0.1,0.6697,0.6713,0.6697,0.6683,0.8384
Normalizer,100,4,0.05,0.6396,0.6432,0.6396,0.6349,0.8153
