Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8823,0.8831,0.8823,0.8825,0.9682
StandardScaler,200,8,0.1,0.8823,0.8831,0.8823,0.8825,0.9682
NoScaler,200,8,0.1,0.8823,0.8831,0.8823,0.8825,0.9682
RobustScaler,200,8,0.1,0.8823,0.8831,0.8823,0.8825,0.9682
StandardScaler,200,6,0.1,0.8789,0.8798,0.8789,0.879,0.9644
MinMaxScaler,200,6,0.1,0.8789,0.8798,0.8789,0.879,0.9644
NoScaler,200,6,0.1,0.8789,0.8798,0.8789,0.879,0.9644
RobustScaler,200,6,0.1,0.8789,0.8798,0.8789,0.879,0.9644
MinMaxScaler,100,8,0.1,0.8738,0.8745,0.8738,0.8739,0.9642
RobustScaler,100,8,0.1,0.8738,0.8745,0.8738,0.8739,0.9642
NoScaler,100,8,0.1,0.8738,0.8745,0.8738,0.8739,0.9642
StandardScaler,100,8,0.1,0.8738,0.8745,0.8738,0.8739,0.9642
RobustScaler,200,8,0.05,0.8675,0.8685,0.8675,0.8677,0.9637
MinMaxScaler,200,8,0.05,0.8675,0.8685,0.8675,0.8677,0.9637
StandardScaler,200,8,0.05,0.8675,0.8685,0.8675,0.8677,0.9637
NoScaler,200,8,0.05,0.8675,0.8685,0.8675,0.8677,0.9637
StandardScaler,100,6,0.1,0.855,0.8567,0.855,0.8553,0.9543
RobustScaler,100,6,0.1,0.855,0.8567,0.855,0.8553,0.9543
NoScaler,100,6,0.1,0.855,0.8567,0.855,0.8553,0.9543
MinMaxScaler,100,6,0.1,0.855,0.8567,0.855,0.8553,0.9543
NoScaler,200,6,0.05,0.8476,0.8489,0.8476,0.8479,0.9539
StandardScaler,200,6,0.05,0.8476,0.8489,0.8476,0.8479,0.9539
RobustScaler,200,6,0.05,0.8476,0.8489,0.8476,0.8479,0.9539
MinMaxScaler,200,6,0.05,0.8476,0.8489,0.8476,0.8479,0.9539
StandardScaler,100,8,0.05,0.8511,0.8522,0.8511,0.8513,0.9515
RobustScaler,100,8,0.05,0.8511,0.8522,0.8511,0.8513,0.9515
NoScaler,100,8,0.05,0.8511,0.8522,0.8511,0.8513,0.9515
MinMaxScaler,100,8,0.05,0.8511,0.8522,0.8511,0.8513,0.9515
MinMaxScaler,200,4,0.1,0.8323,0.8339,0.8323,0.8327,0.9446
RobustScaler,200,4,0.1,0.8323,0.8339,0.8323,0.8327,0.9446
StandardScaler,200,4,0.1,0.8323,0.8339,0.8323,0.8327,0.9446
NoScaler,200,4,0.1,0.8323,0.8339,0.8323,0.8327,0.9446
MinMaxScaler,100,6,0.05,0.8101,0.8111,0.8101,0.8104,0.9355
StandardScaler,100,6,0.05,0.8101,0.8111,0.8101,0.8104,0.9355
RobustScaler,100,6,0.05,0.8101,0.8111,0.8101,0.8104,0.9355
NoScaler,100,6,0.05,0.8101,0.8111,0.8101,0.8104,0.9355
NoScaler,100,4,0.1,0.7766,0.7779,0.7766,0.7771,0.9142
MinMaxScaler,100,4,0.1,0.7766,0.7779,0.7766,0.7771,0.9142
StandardScaler,100,4,0.1,0.7766,0.7779,0.7766,0.7771,0.9142
RobustScaler,100,4,0.1,0.7766,0.7779,0.7766,0.7771,0.9142
StandardScaler,200,4,0.05,0.772,0.774,0.772,0.7727,0.9124
NoScaler,200,4,0.05,0.772,0.774,0.772,0.7727,0.9124
RobustScaler,200,4,0.05,0.772,0.774,0.772,0.7727,0.9124
MinMaxScaler,200,4,0.05,0.772,0.774,0.772,0.7727,0.9124
Normalizer,200,8,0.1,0.7379,0.738,0.7379,0.738,0.8828
RobustScaler,100,4,0.05,0.7175,0.7198,0.7175,0.7183,0.8818
MinMaxScaler,100,4,0.05,0.7175,0.7198,0.7175,0.7183,0.8818
StandardScaler,100,4,0.05,0.7175,0.7198,0.7175,0.7183,0.8818
NoScaler,100,4,0.05,0.7175,0.7198,0.7175,0.7183,0.8818
Normalizer,200,6,0.1,0.743,0.7431,0.743,0.743,0.8803
Normalizer,100,8,0.1,0.7351,0.7354,0.7351,0.7352,0.8777
Normalizer,200,8,0.05,0.7419,0.7418,0.7419,0.7418,0.8768
Normalizer,200,6,0.05,0.7209,0.721,0.7209,0.7208,0.8684
Normalizer,100,6,0.1,0.714,0.7134,0.714,0.7137,0.8678
Normalizer,100,8,0.05,0.726,0.7262,0.726,0.7261,0.8671
Normalizer,200,4,0.1,0.7084,0.7093,0.7084,0.7085,0.8624
Normalizer,100,6,0.05,0.7044,0.7031,0.7044,0.7036,0.8556
Normalizer,100,4,0.1,0.6765,0.6756,0.6765,0.676,0.84
Normalizer,200,4,0.05,0.6794,0.6792,0.6794,0.6793,0.8386
Normalizer,100,4,0.05,0.6362,0.6338,0.6362,0.6331,0.815
