Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,100,4,0.01,0.441,0.4388,0.441,0.4385,0.6331
1,NoScaler,100,4,0.1,0.5551,0.5562,0.5551,0.5548,0.7294
1,NoScaler,100,6,0.01,0.525,0.5243,0.525,0.5245,0.7018
1,NoScaler,100,6,0.1,0.6039,0.6046,0.6039,0.6041,0.7705
1,NoScaler,100,8,0.01,0.5458,0.5478,0.5458,0.5461,0.7314
1,NoScaler,100,8,0.1,0.6253,0.6255,0.6253,0.6253,0.7841
1,NoScaler,200,4,0.01,0.4942,0.4938,0.4942,0.4902,0.6539
1,NoScaler,200,4,0.1,0.5924,0.5935,0.5924,0.5928,0.7551
1,NoScaler,200,6,0.01,0.5354,0.535,0.5354,0.5339,0.7182
1,NoScaler,200,6,0.1,0.6308,0.632,0.6308,0.6312,0.7843
1,NoScaler,200,8,0.01,0.5765,0.5774,0.5765,0.5768,0.7555
1,NoScaler,200,8,0.1,0.6188,0.6185,0.6188,0.6186,0.7837
1,StandardScaler,100,4,0.01,0.4454,0.4437,0.4454,0.4437,0.634
1,StandardScaler,100,4,0.1,0.5562,0.56,0.5562,0.5562,0.7296
1,StandardScaler,100,6,0.01,0.5145,0.5139,0.5145,0.5141,0.6999
1,StandardScaler,100,6,0.1,0.61,0.6107,0.61,0.6101,0.7712
1,StandardScaler,100,8,0.01,0.5557,0.5573,0.5557,0.5561,0.7332
1,StandardScaler,100,8,0.1,0.6231,0.6234,0.6231,0.6233,0.7837
1,StandardScaler,200,4,0.01,0.4909,0.491,0.4909,0.4869,0.6523
1,StandardScaler,200,4,0.1,0.593,0.5933,0.593,0.5931,0.7557
1,StandardScaler,200,6,0.01,0.5387,0.5379,0.5387,0.5375,0.7173
1,StandardScaler,200,6,0.1,0.6242,0.6249,0.6242,0.6245,0.7809
1,StandardScaler,200,8,0.01,0.5771,0.5776,0.5771,0.5773,0.754
1,StandardScaler,200,8,0.1,0.6188,0.6186,0.6188,0.6187,0.7862
1,MinMaxScaler,100,4,0.01,0.4432,0.4408,0.4432,0.4405,0.6338
1,MinMaxScaler,100,4,0.1,0.565,0.5656,0.565,0.5637,0.7328
1,MinMaxScaler,100,6,0.01,0.5162,0.5155,0.5162,0.5158,0.6993
1,MinMaxScaler,100,6,0.1,0.6056,0.6064,0.6056,0.6058,0.769
1,MinMaxScaler,100,8,0.01,0.5535,0.5527,0.5535,0.553,0.7321
1,MinMaxScaler,100,8,0.1,0.6237,0.6244,0.6237,0.6239,0.7847
1,MinMaxScaler,200,4,0.01,0.4871,0.4871,0.4871,0.4828,0.6518
1,MinMaxScaler,200,4,0.1,0.5902,0.591,0.5902,0.5904,0.7547
1,MinMaxScaler,200,6,0.01,0.5398,0.5394,0.5398,0.5391,0.7191
1,MinMaxScaler,200,6,0.1,0.6281,0.6294,0.6281,0.6286,0.78
1,MinMaxScaler,200,8,0.01,0.5804,0.5815,0.5804,0.5804,0.7543
1,MinMaxScaler,200,8,0.1,0.6237,0.6234,0.6237,0.6235,0.7872
1,RobustScaler,100,4,0.01,0.441,0.4388,0.441,0.4385,0.6337
1,RobustScaler,100,4,0.1,0.5634,0.5639,0.5634,0.5628,0.7291
1,RobustScaler,100,6,0.01,0.5134,0.5125,0.5134,0.5127,0.6985
1,RobustScaler,100,6,0.1,0.6182,0.6183,0.6182,0.6181,0.7701
1,RobustScaler,100,8,0.01,0.5485,0.5511,0.5485,0.5492,0.7325
1,RobustScaler,100,8,0.1,0.6221,0.622,0.6221,0.6218,0.7821
1,RobustScaler,200,4,0.01,0.4937,0.4935,0.4937,0.4902,0.6523
1,RobustScaler,200,4,0.1,0.5902,0.5909,0.5902,0.5902,0.7549
1,RobustScaler,200,6,0.01,0.5343,0.5343,0.5343,0.5336,0.7167
1,RobustScaler,200,6,0.1,0.6303,0.6308,0.6303,0.6304,0.779
1,RobustScaler,200,8,0.01,0.5743,0.5762,0.5743,0.575,0.7516
1,RobustScaler,200,8,0.1,0.6215,0.621,0.6215,0.6212,0.7836
1,Normalizer,100,4,0.01,0.4613,0.4672,0.4613,0.4569,0.6492
1,Normalizer,100,4,0.1,0.5107,0.5127,0.5107,0.511,0.6948
1,Normalizer,100,6,0.01,0.4986,0.5008,0.4986,0.498,0.6884
1,Normalizer,100,6,0.1,0.5436,0.5436,0.5436,0.5436,0.7199
1,Normalizer,100,8,0.01,0.5178,0.5187,0.5178,0.5166,0.7067
1,Normalizer,100,8,0.1,0.5518,0.5517,0.5518,0.5517,0.7228
1,Normalizer,200,4,0.01,0.4794,0.4837,0.4794,0.4785,0.6623
1,Normalizer,200,4,0.1,0.5315,0.5315,0.5315,0.5313,0.71
1,Normalizer,200,6,0.01,0.525,0.5252,0.525,0.5249,0.6978
1,Normalizer,200,6,0.1,0.5485,0.5484,0.5485,0.5483,0.7234
1,Normalizer,200,8,0.01,0.5239,0.5241,0.5239,0.5228,0.7095
