Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.627,0.6264,0.627,0.6263,0.7905
StandardScaler,200,8,0.1,0.626,0.6257,0.626,0.6255,0.7904
RobustScaler,200,8,0.1,0.6276,0.6273,0.6276,0.6271,0.7903
NoScaler,200,8,0.1,0.6253,0.6251,0.6253,0.6249,0.7898
MinMaxScaler,100,8,0.1,0.6276,0.6277,0.6276,0.6273,0.7892
StandardScaler,100,8,0.1,0.6283,0.628,0.6283,0.6279,0.7889
NoScaler,100,8,0.1,0.6271,0.6268,0.6271,0.6266,0.7884
NoScaler,200,6,0.1,0.6282,0.6287,0.6282,0.6281,0.7879
RobustScaler,100,8,0.1,0.6272,0.6271,0.6272,0.6268,0.7878
MinMaxScaler,200,6,0.1,0.6272,0.6273,0.6272,0.6269,0.7877
StandardScaler,200,6,0.1,0.627,0.6275,0.627,0.627,0.7871
RobustScaler,200,6,0.1,0.6273,0.6273,0.6273,0.627,0.7871
MinMaxScaler,100,6,0.1,0.6161,0.6161,0.6161,0.6157,0.7774
RobustScaler,100,6,0.1,0.6182,0.6182,0.6182,0.6176,0.7773
StandardScaler,100,6,0.1,0.6161,0.6162,0.6161,0.6159,0.7773
NoScaler,100,6,0.1,0.6164,0.6164,0.6164,0.616,0.7766
NoScaler,200,4,0.1,0.6051,0.6055,0.6051,0.6048,0.7671
StandardScaler,200,4,0.1,0.6068,0.6066,0.6068,0.6064,0.767
MinMaxScaler,200,4,0.1,0.6008,0.6009,0.6008,0.6005,0.7668
RobustScaler,200,4,0.1,0.6004,0.6005,0.6004,0.6,0.766
MinMaxScaler,200,8,0.01,0.5968,0.5965,0.5968,0.5961,0.765
NoScaler,200,8,0.01,0.5924,0.5921,0.5924,0.5917,0.7636
StandardScaler,200,8,0.01,0.5946,0.5944,0.5946,0.594,0.7636
RobustScaler,200,8,0.01,0.597,0.597,0.597,0.5965,0.7633
MinMaxScaler,100,8,0.01,0.5779,0.5774,0.5779,0.577,0.7488
StandardScaler,100,8,0.01,0.5718,0.5721,0.5718,0.571,0.7482
RobustScaler,100,8,0.01,0.5731,0.5733,0.5731,0.5724,0.7479
NoScaler,100,8,0.01,0.5662,0.5664,0.5662,0.5652,0.7457
StandardScaler,100,4,0.1,0.5733,0.5738,0.5733,0.5725,0.7437
MinMaxScaler,100,4,0.1,0.5786,0.5785,0.5786,0.5776,0.7437
NoScaler,100,4,0.1,0.5724,0.5725,0.5724,0.5717,0.7428
RobustScaler,100,4,0.1,0.5763,0.5765,0.5763,0.5753,0.742
Normalizer,100,8,0.1,0.561,0.5614,0.561,0.561,0.7331
Normalizer,200,8,0.1,0.5633,0.5634,0.5633,0.5631,0.733
NoScaler,200,6,0.01,0.5567,0.557,0.5567,0.5552,0.7329
StandardScaler,200,6,0.01,0.5587,0.5585,0.5587,0.5574,0.7329
Normalizer,200,6,0.1,0.5612,0.5614,0.5612,0.5611,0.7328
MinMaxScaler,200,6,0.01,0.5577,0.5579,0.5577,0.5567,0.7322
RobustScaler,200,6,0.01,0.5585,0.5586,0.5585,0.5575,0.7321
Normalizer,100,6,0.1,0.5549,0.5555,0.5549,0.555,0.7294
Normalizer,200,4,0.1,0.5473,0.5482,0.5473,0.5474,0.7232
Normalizer,200,8,0.01,0.5408,0.5419,0.5408,0.5399,0.7213
Normalizer,100,8,0.01,0.5301,0.532,0.5301,0.5292,0.714
StandardScaler,100,6,0.01,0.5325,0.5323,0.5325,0.5313,0.71
NoScaler,100,6,0.01,0.5324,0.5321,0.5324,0.5312,0.7099
RobustScaler,100,6,0.01,0.533,0.5326,0.533,0.5318,0.7096
MinMaxScaler,100,6,0.01,0.5312,0.531,0.5312,0.5302,0.7091
Normalizer,100,4,0.1,0.5247,0.5265,0.5247,0.5246,0.708
Normalizer,200,6,0.01,0.5237,0.5277,0.5237,0.5227,0.7069
Normalizer,100,6,0.01,0.5081,0.5115,0.5081,0.5069,0.6932
RobustScaler,200,4,0.01,0.5004,0.5013,0.5004,0.4984,0.6773
StandardScaler,200,4,0.01,0.5005,0.5011,0.5005,0.4982,0.677
MinMaxScaler,200,4,0.01,0.4987,0.4992,0.4987,0.4962,0.6767
NoScaler,200,4,0.01,0.502,0.5024,0.502,0.4996,0.6766
Normalizer,200,4,0.01,0.4835,0.4878,0.4835,0.4823,0.6693
StandardScaler,100,4,0.01,0.4805,0.4809,0.4805,0.4781,0.6567
MinMaxScaler,100,4,0.01,0.4791,0.48,0.4791,0.4765,0.6562
RobustScaler,100,4,0.01,0.4778,0.4786,0.4778,0.4752,0.6559
NoScaler,100,4,0.01,0.4783,0.4787,0.4783,0.4756,0.6556
Normalizer,100,4,0.01,0.4741,0.4777,0.4741,0.4723,0.6552
