Dataset,Task,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Train_Time_s,Test_Time_s,Scaler,Timestamp
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.8284,0.8289,0.8282,0.383,0.0296,,20251119_221601
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.8324,0.8328,0.832,1.1582,0.0555,,20251119_221603
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8375,0.8377,0.8369,1.6186,0.0756,,20251119_221604
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.8477,0.8484,0.8477,2.4251,0.0521,,20251119_221607
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.8278,0.8283,0.8276,0.2859,0.0283,StandardScaler,20251119_221607
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.8335,0.8339,0.8331,0.91,0.0402,StandardScaler,20251119_221608
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8364,0.8365,0.8358,1.3716,0.0671,StandardScaler,20251119_221610
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.8466,0.8471,0.8464,2.9841,0.0534,StandardScaler,20251119_221613
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.8284,0.8289,0.8283,0.3596,0.0281,MinMaxScaler,20251119_221613
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.833,0.8333,0.8325,1.3812,0.0642,MinMaxScaler,20251119_221615
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8364,0.8365,0.8358,2.7664,0.0923,MinMaxScaler,20251119_221617
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.8483,0.8489,0.8482,3.0932,0.0511,MinMaxScaler,20251119_221621
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.829,0.8294,0.8288,0.2853,0.0295,RobustScaler,20251119_221621
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.8335,0.8339,0.8331,0.9331,0.1552,RobustScaler,20251119_221622
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8352,0.8354,0.8346,1.3701,0.0653,RobustScaler,20251119_221624
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.8472,0.8477,0.847,2.2315,0.0383,RobustScaler,20251119_221626
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.7216,0.7213,0.7209,0.6353,0.0279,Normalizer,20251119_221626
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.717,0.7171,0.7164,2.1743,0.0545,Normalizer,20251119_221629
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.717,0.7167,0.7161,3.7816,0.0763,Normalizer,20251119_221633
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.7188,0.7188,0.7183,6.0374,0.0543,Normalizer,20251119_221639
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.8284,0.8289,0.8282,0.2963,0.1266,MaxAbsScaler,20251119_221639
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.8347,0.835,0.8342,1.0104,0.0514,MaxAbsScaler,20251119_221640
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8358,0.8359,0.8352,1.9483,0.0772,MaxAbsScaler,20251119_221642
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.8472,0.8477,0.847,2.1682,0.0485,MaxAbsScaler,20251119_221645
liver_cirrhosis_preprocessed.csv,multiclass,100,None,2,1,sqrt,0.8261,0.8266,0.826,0.2644,0.0251,QuantileTransformer,20251119_221645
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,sqrt,0.8341,0.8344,0.8337,0.8215,0.0413,QuantileTransformer,20251119_221646
liver_cirrhosis_preprocessed.csv,multiclass,500,20,5,2,sqrt,0.8369,0.8371,0.8364,1.4635,0.0632,QuantileTransformer,20251119_221647
liver_cirrhosis_preprocessed.csv,multiclass,300,None,2,1,0.8,0.846,0.8466,0.846,2.4995,0.0501,QuantileTransformer,20251119_221650
