Dataset,Task,Eta,Epochs,Threshold,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Train_Time_s,Test_Time_s,Final_Loss,Converged_Epoch,Scaler,Timestamp
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.5385,0.5459,0.5376,0.2174,0.0001,5.91458,2000,,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.3932,0.3301,0.3749,0.1772,0.0001,5.886057,1500,,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.4103,0.357,0.396,0.1165,0.0001,5.91458,1000,,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.7094,0.5888,0.415,0.0886,0.0001,12.091098,800,,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.7094,0.6485,0.5242,0.2652,0.0001,0.499577,2000,StandardScaler,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.6838,0.6387,0.5224,0.1588,0.0001,0.489146,1500,StandardScaler,20251119_222812
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.7009,0.6582,0.5483,0.1068,0.0001,0.487598,1000,StandardScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.6923,0.652,0.5422,0.0859,0.0001,0.485653,800,StandardScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.7094,0.5888,0.415,0.2248,0.0001,0.571106,2000,MinMaxScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.7265,0.627,0.4747,0.1607,0.0001,0.54363,1500,MinMaxScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.7179,0.622,0.4703,0.1204,0.0002,0.537507,1000,MinMaxScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.7179,0.622,0.4703,0.0877,0.0002,0.528184,800,MinMaxScaler,20251119_222813
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.6752,0.6326,0.5167,0.2089,0.0001,0.490668,2000,RobustScaler,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.6923,0.652,0.5422,0.1662,0.0001,0.488046,1500,RobustScaler,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.6923,0.652,0.5422,0.1095,0.0001,0.487307,1000,RobustScaler,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.6838,0.6457,0.5362,0.0891,0.0002,0.486044,800,RobustScaler,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.7094,0.5888,0.415,0.1998,0.0001,0.583079,2000,Normalizer,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.7094,0.5888,0.415,0.1604,0.0001,0.569579,1500,Normalizer,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.7094,0.5888,0.415,0.1067,0.0001,0.567387,1000,Normalizer,20251119_222814
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.7094,0.5888,0.415,0.0868,0.0001,0.564264,800,Normalizer,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.7094,0.5888,0.415,0.2039,0.0001,0.572849,2000,MaxAbsScaler,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.7179,0.6084,0.4457,0.1562,0.0001,0.545477,1500,MaxAbsScaler,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.7179,0.622,0.4703,0.1001,0.0001,0.539245,1000,MaxAbsScaler,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.7179,0.622,0.4703,0.085,0.0001,0.52979,800,MaxAbsScaler,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.01,2000,0.001,0.6752,0.6457,0.5426,0.2063,0.0001,0.497824,2000,QuantileTransformer,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.05,1500,0.0001,0.6752,0.6457,0.5426,0.1522,0.0002,0.496022,1500,QuantileTransformer,20251119_222815
indian_liver_patient_preprocessed.csv,binary,0.1,1000,0.0001,0.6752,0.6457,0.5426,0.1081,0.0001,0.495857,1000,QuantileTransformer,20251119_222816
indian_liver_patient_preprocessed.csv,binary,0.2,800,0.0001,0.6752,0.6457,0.5426,0.0832,0.0001,0.495736,800,QuantileTransformer,20251119_222816
