Dataset,Task,Eta,Max_Depth,Subsample,Colsample,Num_Boost,Best_Iter,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Train_Time_s,Test_Time_s,Scaler,Timestamp
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,7.2766,0.0552,,20251119_220714
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.4009,0.0196,,20251119_220718
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.3441,0.045,,20251119_220727
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,7.1266,0.0416,StandardScaler,20251119_220734
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.2626,0.0221,StandardScaler,20251119_220737
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.4129,0.0496,StandardScaler,20251119_220747
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,7.2679,0.0522,MinMaxScaler,20251119_220754
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.2621,0.0224,MinMaxScaler,20251119_220758
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.206,0.0522,MinMaxScaler,20251119_220807
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,7.0404,0.0527,RobustScaler,20251119_220814
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.2639,0.0258,RobustScaler,20251119_220817
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.8909,0.0692,RobustScaler,20251119_220827
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,378,0.7347,0.735,0.7341,5.0391,0.0325,Normalizer,20251119_220832
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,132,0.7403,0.7408,0.7399,3.8485,0.023,Normalizer,20251119_220836
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,272,0.7398,0.7404,0.7395,10.5424,0.0457,Normalizer,20251119_220847
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,6.9897,0.0397,MaxAbsScaler,20251119_220854
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.2536,0.024,MaxAbsScaler,20251119_220857
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.4244,0.0557,MaxAbsScaler,20251119_220907
liver_cirrhosis_preprocessed.csv,multiclass,0.05,6,0.8,0.8,1000,773,0.8795,0.8794,0.8788,6.9234,0.0443,QuantileTransformer,20251119_220914
liver_cirrhosis_preprocessed.csv,multiclass,0.1,8,0.9,0.9,800,205,0.8835,0.8836,0.8829,3.5007,0.0162,QuantileTransformer,20251119_220917
liver_cirrhosis_preprocessed.csv,multiclass,0.03,10,1.0,1.0,1500,464,0.879,0.8793,0.8786,9.4336,0.0553,QuantileTransformer,20251119_220927
